url,genre,situation,camera,dancer,music,choreo,dancer_count
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch01.mp4,gBR,BM,01,04,BR0,01,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch02.mp4,gBR,BM,01,04,BR0,02,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch03.mp4,gBR,BM,01,04,BR0,03,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch04.mp4,gBR,BM,01,04,BR0,04,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch05.mp4,gBR,BM,01,04,BR0,05,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch06.mp4,gBR,BM,01,04,BR0,06,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch07.mp4,gBR,BM,01,04,BR0,07,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch08.mp4,gBR,BM,01,04,BR0,08,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch09.mp4,gBR,BM,01,04,BR0,09,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch10.mp4,gBR,BM,01,04,BR0,10,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR1_ch01.mp4,gBR,BM,01,04,BR1,01,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR1_ch02.mp4,gBR,BM,01,04,BR1,02,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR1_ch03.mp4,gBR,BM,01,04,BR1,03,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR1_ch04.mp4,gBR,BM,01,04,BR1,04,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR1_ch05.mp4,gBR,BM,01,04,BR1,05,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR1_ch06.mp4,gBR,BM,01,04,BR1,06,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR1_ch07.mp4,gBR,BM,01,04,BR1,07,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR1_ch08.mp4,gBR,BM,01,04,BR1,08,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR1_ch09.mp4,gBR,BM,01,04,BR1,09,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR1_ch10.mp4,gBR,BM,01,04,BR1,10,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR2_ch01.mp4,gBR,BM,01,04,BR2,01,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR2_ch02.mp4,gBR,BM,01,04,BR2,02,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR2_ch03.mp4,gBR,BM,01,04,BR2,03,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR2_ch04.mp4,gBR,BM,01,04,BR2,04,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR2_ch05.mp4,gBR,BM,01,04,BR2,05,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR2_ch06.mp4,gBR,BM,01,04,BR2,06,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR2_ch07.mp4,gBR,BM,01,04,BR2,07,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR2_ch08.mp4,gBR,BM,01,04,BR2,08,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR2_ch09.mp4,gBR,BM,01,04,BR2,09,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR2_ch10.mp4,gBR,BM,01,04,BR2,10,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR3_ch01.mp4,gBR,BM,01,04,BR3,01,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR3_ch02.mp4,gBR,BM,01,04,BR3,02,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR3_ch03.mp4,gBR,BM,01,04,BR3,03,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR3_ch04.mp4,gBR,BM,01,04,BR3,04,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR3_ch05.mp4,gBR,BM,01,04,BR3,05,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR3_ch06.mp4,gBR,BM,01,04,BR3,06,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR3_ch07.mp4,gBR,BM,01,04,BR3,07,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR3_ch08.mp4,gBR,BM,01,04,BR3,08,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR3_ch09.mp4,gBR,BM,01,04,BR3,09,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR3_ch10.mp4,gBR,BM,01,04,BR3,10,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d05_mBR0_ch01.mp4,gBR,BM,01,05,BR0,01,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d05_mBR0_ch02.mp4,gBR,BM,01,05,BR0,02,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d05_mBR0_ch03.mp4,gBR,BM,01,05,BR0,03,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d05_mBR0_ch04.mp4,gBR,BM,01,05,BR0,04,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d05_mBR0_ch05.mp4,gBR,BM,01,05,BR0,05,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d05_mBR0_ch06.mp4,gBR,BM,01,05,BR0,06,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d05_mBR0_ch07.mp4,gBR,BM,01,05,BR0,07,2
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d05_mBR0_ch08.mp4,gBR,BM,01,05,BR0,08,2
